type_id;description_category_id;путь;тип товара;статус;ошибки
971888493;46590429;Кино, музыка, видеоигры, софт / Кино, музыка, видеоигры, софт / Пластинка виниловая;Пластинка виниловая;фото отклонено;DESCRIPTION_DECLINE:4194
97394;17028920;Музыкальные инструменты / Клавишные инструменты / Аккордеон;Аккордеон;не создано;
971123121;17028920;Музыкальные инструменты / Клавишные инструменты / Модульная система;Модульная система;не создано;
970896657;17028920;Музыкальные инструменты / Клавишные инструменты / Баян;Баян;не создано;
972936740;17028622;Музыкальные инструменты / Струнные инструменты / Альт;Альт;не создано;
972936738;17028622;Музыкальные инструменты / Струнные инструменты / Скрипка;Скрипка;не создано;
95861;17028622;Музыкальные инструменты / Струнные инструменты / Укулеле;Укулеле;не создано;
96832;18262714;Музыкальные инструменты / Ударные инструменты и перкуссия / Ксилофон;Ксилофон;не создано;
96821;18262713;Музыкальные инструменты / Духовые инструменты / Кларнет;Кларнет;не создано;
96827;18262713;Музыкальные инструменты / Духовые инструменты / Баритон;Баритон;не создано;
96819;18262713;Музыкальные инструменты / Духовые инструменты / Мелодика;Мелодика;не создано;
96823;18262713;Музыкальные инструменты / Духовые инструменты / Горн;Горн;не создано;
96810;18262713;Музыкальные инструменты / Духовые инструменты / Флейта;Флейта;не создано;
971107919;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Грувбокс;Грувбокс;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
95853;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / MIDI-клавиатура;MIDI-клавиатура;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
971107921;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Сэмплер;Сэмплер;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
971107922;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Секвенсор;Секвенсор;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
970964751;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Кроссфейдер для микшера;Кроссфейдер для микшера;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
971106095;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Таймкод для диджеинга;Таймкод для диджеинга;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
91908;17028949;Музыкальные инструменты / Электронные музыкальные инструменты / Микшер;Микшер;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
971065372;17028927;Музыкальные инструменты / Аксессуары к музыкальным инструментам / Аксессуар для дирижера;Аксессуар для дирижера;фото отклонено;DESCRIPTION_DECLINE:4194
971156243;17028927;Музыкальные инструменты / Аксессуары к музыкальным инструментам / Подставка для музыкальных инструментов;Подставка для музыкальных инструментов;не создано;
970693384;17028927;Музыкальные инструменты / Аксессуары к музыкальным инструментам / Контроллер для гитарного усилителя;Контроллер для гитарного усилителя;фото отклонено;DESCRIPTION_DECLINE:4194
97398;17028927;Музыкальные инструменты / Аксессуары к музыкальным инструментам / Метроном;Метроном;не создано;
971422234;17028927;Музыкальные инструменты / Аксессуары к музыкальным инструментам / Аксессуар для клавишных инструментов;Аксессуар для клавишных инструментов;не создано;
